2219 , 500 
2216 , 700 
2220 , 900 
2213 , 1100 
2211 , 1300 
2212 , 1500 
2206 , 1700 
2209 , 1900 
2206 , 2100 
2201 , 2300 
2200 , 2501 
2196 , 2701 
2197 , 2901 
2189 , 3101 
2192 , 3301 
2190 , 3501 
2187 , 3701 
2188 , 3901 
2185 , 4101 
2180 , 4301 
2180 , 4501 
2178 , 4701 
2169 , 4901 
2174 , 5101 
2176 , 5301 
2165 , 5502 
2168 , 5702 
2166 , 5902 
2165 , 6102 
2165 , 6302 
2158 , 6502 
2159 , 6702 
2152 , 6902 
2152 , 7102 
2158 , 7302 
2146 , 7502 
2150 , 7702 
2153 , 7902 
2143 , 8102 
2139 , 8302 
2146 , 8503 
2140 , 8703 
2134 , 8903 
2127 , 9103 
2153 , 9303 
2150 , 9503 
2143 , 9703 
2157 , 9903 
2157 , 10103 
2153 , 10303 
2150 , 10503 
2151 , 10703 
2133 , 10903 
2147 , 11103 
2128 , 11303 
2130 , 11504 
2121 , 11704 
2117 , 11904 
2115 , 12104 
2113 , 12304 
2107 , 12504 
2108 , 12704 
2100 , 12904 
2099 , 13104 
2091 , 13304 
2085 , 13504 
2086 , 13704 
2088 , 13904 
2090 , 14104 
2077 , 14305 
2080 , 14505 
2078 , 14705 
2078 , 14905 
2072 , 15105 
2076 , 15305 
2068 , 15505 
2074 , 15705 
2067 , 15905 
2065 , 16105 
2066 , 16305 
2060 , 16505 
2062 , 16705 
2062 , 16905 
2060 , 17105 
2054 , 17306 
2041 , 17506 
2049 , 17706 
2048 , 17906 
2038 , 18106 
2037 , 18306 
2036 , 18506 
2029 , 18706 
2035 , 18906 
2025 , 19106 
2018 , 19306 
2006 , 19506 
2018 , 19706 
2009 , 19906 
2015 , 20107 
2008 , 20307 
2006 , 20507 
2011 , 20707 
2010 , 20907 
2005 , 21107 
1999 , 21307 
1990 , 21507 
1993 , 21707 
1989 , 21907 
1984 , 22107 
1985 , 22307 
1976 , 22507 
1981 , 22707 
1974 , 22907 
1968 , 23108 
1962 , 23308 
1962 , 23508 
1964 , 23708 
1960 , 23908 
1956 , 24108 
1955 , 24308 
1949 , 24508 
1948 , 24708 
1948 , 24908 
1947 , 25108 
1939 , 25308 
1938 , 25508 
1938 , 25708 
1932 , 25909 
1931 , 26109 
1930 , 26309 
1922 , 26509 
1925 , 26709 
1920 , 26909 
1919 , 27109 
1919 , 27309 
1913 , 27509 
1908 , 27709 
1905 , 27909 
1901 , 28109 
1901 , 28309 
1892 , 28509 
1893 , 28709 
1873 , 28910 
1873 , 29110 
1870 , 29310 
1866 , 29510 
1867 , 29710 
1862 , 29910 
1858 , 30110 
1855 , 30310 
1851 , 30510 
1842 , 30710 
1832 , 30910 
1840 , 31110 
1834 , 31310 
1830 , 31510 
1824 , 31711 
1831 , 31911 
1822 , 32111 
1825 , 32311 
1818 , 32511 
1814 , 32711 
1814 , 32911 
1810 , 33111 
1807 , 33311 
1805 , 33511 
1798 , 33711 
1798 , 33911 
1793 , 34111 
1792 , 34311 
1796 , 34512 
1775 , 34712 
1786 , 34912 
1775 , 35112 
1789 , 35312 
1776 , 35512 
1771 , 35712 
1766 , 35912 
1767 , 36112 
1760 , 36312 
1762 , 36512 
1757 , 36712 
1751 , 36912 
1748 , 37112 
1747 , 37312 
1740 , 37513 
1738 , 37713 
1735 , 37913 
1735 , 38113 
1737 , 38313 
1717 , 38513 
1730 , 38713 
1724 , 38913 
1714 , 39113 
1711 , 39313 
1704 , 39513 
1723 , 39713 
1706 , 39913 
1700 , 40113 
1698 , 40314 
1702 , 40514 
1695 , 40714 
1697 , 40914 
1696 , 41114 
1690 , 41314 
1688 , 41514 
1689 , 41714 
1686 , 41914 
1683 , 42114 
1684 , 42314 
1683 , 42514 
1682 , 42714 
1681 , 42914 
1679 , 43114 
1685 , 43315 
1682 , 43515 
1680 , 43715 
1684 , 43915 
1681 , 44115 
1679 , 44315 
1679 , 44515 
1682 , 44715 
1684 , 44915 
1684 , 45115 
1684 , 45315 
1680 , 45515 
1679 , 45715 
1678 , 45915 
1690 , 46116 
1684 , 46316 
1686 , 46516 
1686 , 46716 
1685 , 46916 
1685 , 47116 
1689 , 47316 
1685 , 47516 
1683 , 47716 
1684 , 47916 
1683 , 48116 
1685 , 48316 
1681 , 48516 
1686 , 48716 
1681 , 48916 
1683 , 49117 
1683 , 49317 
1683 , 49517 
1685 , 49717 
1696 , 49917 
1684 , 50117 
1678 , 50317 
1682 , 50517 
1683 , 50717 
1683 , 50917 
1685 , 51117 
1683 , 51317 
1677 , 51517 
1683 , 51717 
1683 , 51918 
1684 , 52118 
1683 , 52318 
1680 , 52518 
1682 , 52718 
1684 , 52918 
1684 , 53118 
1685 , 53318 
1681 , 53518 
1682 , 53718 
1685 , 53918 
1683 , 54118 
1684 , 54318 
1684 , 54518 
1684 , 54718 
1681 , 54919 
1686 , 55119 
1682 , 55319 
1683 , 55519 
1682 , 55719 
1680 , 55919 
1683 , 56119 
1684 , 56319 
1683 , 56519 
1689 , 56719 
1681 , 56919 
1685 , 57119 
1684 , 57319 
1684 , 57519 
1678 , 57720 
1717 , 57920 
1816 , 58120 
1951 , 58320 
2047 , 58520 
2080 , 58720 
2113 , 58920 
2106 , 59120 
2127 , 59320 
2149 , 59520 
2157 , 59720 
2155 , 59920 
2164 , 60120 
