strength: 2120 , time: 500 
strength: 2118 , time: 700 
strength: 2111 , time: 900 
strength: 2114 , time: 1100 
strength: 2115 , time: 1300 
strength: 2095 , time: 1500 
strength: 2088 , time: 1700 
strength: 2096 , time: 1900 
strength: 2085 , time: 2100 
strength: 2085 , time: 2300 
strength: 2083 , time: 2501 
strength: 2099 , time: 2701 
strength: 2075 , time: 2901 
strength: 2076 , time: 3101 
strength: 2076 , time: 3301 
strength: 2068 , time: 3501 
strength: 2069 , time: 3701 
strength: 2047 , time: 3901 
strength: 2066 , time: 4101 
strength: 2064 , time: 4301 
strength: 2064 , time: 4501 
strength: 2059 , time: 4701 
strength: 2062 , time: 4901 
strength: 2054 , time: 5101 
strength: 2054 , time: 5301 
strength: 2054 , time: 5502 
strength: 2045 , time: 5702 
strength: 2055 , time: 5902 
strength: 2042 , time: 6102 
strength: 2031 , time: 6302 
strength: 2036 , time: 6502 
strength: 2034 , time: 6702 
strength: 2035 , time: 6902 
strength: 2034 , time: 7102 
strength: 2031 , time: 7302 
strength: 2025 , time: 7502 
strength: 2019 , time: 7702 
strength: 2014 , time: 7902 
strength: 2013 , time: 8102 
strength: 2013 , time: 8302 
strength: 2007 , time: 8503 
strength: 2006 , time: 8703 
strength: 2000 , time: 8903 
strength: 1995 , time: 9103 
strength: 2001 , time: 9303 
strength: 1990 , time: 9503 
strength: 1987 , time: 9703 
strength: 1980 , time: 9903 
strength: 1983 , time: 10103 
strength: 1979 , time: 10303 
strength: 1976 , time: 10503 
strength: 1974 , time: 10703 
strength: 1964 , time: 10903 
strength: 1971 , time: 11103 
strength: 1959 , time: 11303 
strength: 1961 , time: 11504 
strength: 1956 , time: 11704 
strength: 1949 , time: 11904 
strength: 1946 , time: 12104 
strength: 1954 , time: 12304 
strength: 1944 , time: 12504 
strength: 1942 , time: 12704 
strength: 1939 , time: 12904 
strength: 1933 , time: 13104 
strength: 1934 , time: 13304 
strength: 1932 , time: 13504 
strength: 1930 , time: 13704 
strength: 1925 , time: 13904 
strength: 1914 , time: 14104 
strength: 1907 , time: 14305 
strength: 1915 , time: 14505 
strength: 1910 , time: 14705 
strength: 1903 , time: 14905 
strength: 1892 , time: 15105 
strength: 1877 , time: 15305 
strength: 1883 , time: 15505 
strength: 1874 , time: 15705 
strength: 1875 , time: 15905 
strength: 1865 , time: 16105 
strength: 1865 , time: 16305 
strength: 1858 , time: 16505 
strength: 1861 , time: 16705 
strength: 1843 , time: 16905 
strength: 1849 , time: 17105 
strength: 1837 , time: 17306 
strength: 1837 , time: 17506 
strength: 1834 , time: 17706 
strength: 1841 , time: 17906 
strength: 1822 , time: 18106 
strength: 1824 , time: 18306 
strength: 1822 , time: 18506 
strength: 1820 , time: 18706 
strength: 1815 , time: 18906 
strength: 1814 , time: 19106 
strength: 1807 , time: 19306 
strength: 1805 , time: 19506 
strength: 1797 , time: 19706 
strength: 1800 , time: 19906 
strength: 1788 , time: 20107 
strength: 1785 , time: 20307 
strength: 1781 , time: 20507 
strength: 1787 , time: 20707 
strength: 1770 , time: 20907 
strength: 1769 , time: 21107 
strength: 1764 , time: 21307 
strength: 1761 , time: 21507 
strength: 1754 , time: 21707 
strength: 1747 , time: 21907 
strength: 1745 , time: 22107 
strength: 1742 , time: 22307 
strength: 1738 , time: 22507 
strength: 1727 , time: 22707 
strength: 1742 , time: 22908 
strength: 1713 , time: 23108 
strength: 1722 , time: 23308 
strength: 1710 , time: 23508 
strength: 1709 , time: 23708 
strength: 1704 , time: 23908 
strength: 1697 , time: 24108 
strength: 1698 , time: 24308 
strength: 1696 , time: 24508 
strength: 1689 , time: 24708 
strength: 1682 , time: 24908 
strength: 1687 , time: 25108 
strength: 1680 , time: 25308 
strength: 1669 , time: 25508 
strength: 1675 , time: 25708 
strength: 1657 , time: 25909 
strength: 1658 , time: 26109 
strength: 1642 , time: 26309 
strength: 1645 , time: 26509 
strength: 1642 , time: 26709 
strength: 1632 , time: 26909 
strength: 1628 , time: 27109 
strength: 1630 , time: 27309 
strength: 1625 , time: 27509 
strength: 1602 , time: 27709 
strength: 1611 , time: 27909 
strength: 1598 , time: 28109 
strength: 1588 , time: 28309 
strength: 1597 , time: 28509 
strength: 1581 , time: 28710 
strength: 1578 , time: 28910 
strength: 1577 , time: 29110 
strength: 1574 , time: 29310 
strength: 1567 , time: 29510 
strength: 1562 , time: 29710 
strength: 1565 , time: 29910 
strength: 1558 , time: 30110 
strength: 1546 , time: 30310 
strength: 1544 , time: 30510 
strength: 1544 , time: 30710 
strength: 1538 , time: 30910 
strength: 1536 , time: 31110 
strength: 1522 , time: 31310 
strength: 1524 , time: 31510 
strength: 1510 , time: 31711 
strength: 1514 , time: 31911 
strength: 1506 , time: 32111 
strength: 1498 , time: 32311 
strength: 1494 , time: 32511 
strength: 1484 , time: 32711 
strength: 1483 , time: 32911 
strength: 1476 , time: 33111 
strength: 1469 , time: 33311 
strength: 1466 , time: 33511 
strength: 1462 , time: 33711 
strength: 1456 , time: 33911 
strength: 1452 , time: 34111 
strength: 1444 , time: 34311 
strength: 1443 , time: 34512 
strength: 1438 , time: 34712 
strength: 1432 , time: 34912 
strength: 1433 , time: 35112 
strength: 1423 , time: 35312 
strength: 1417 , time: 35512 
strength: 1411 , time: 35712 
strength: 1413 , time: 35912 
strength: 1398 , time: 36112 
strength: 1393 , time: 36312 
strength: 1392 , time: 36512 
strength: 1376 , time: 36712 
strength: 1375 , time: 36912 
strength: 1367 , time: 37112 
strength: 1356 , time: 37313 
